header,score
no,-4.406451225280762
wait,-4.676454067230225
no,-4.412712097167969
wait,-4.649227619171143
no,-4.299225330352783
wait,-4.4408488273620605
no,-4.204646587371826
wait,-4.441567420959473
no,-4.525384426116943
wait,-4.7855143547058105
no,-4.276860237121582
wait,-4.621783256530762
no,-4.4691081047058105
wait,-4.706733703613281
no,-4.2362470626831055
wait,-4.573162078857422
no,-4.455992221832275
wait,-4.7598371505737305
no,-4.317919731140137
wait,-4.875796794891357
no,-4.406178951263428
wait,-4.638425350189209
no,-4.273022174835205
wait,-4.594851493835449
no,-4.450055122375488
wait,-4.753293991088867
no,-4.330195903778076
wait,-4.683950901031494
no,-4.388166427612305
wait,-4.628838539123535
no,-4.428977966308594
wait,-4.73552942276001
no,-4.493307113647461
wait,-4.783669948577881
no,-4.625991344451904
wait,-4.930356979370117
no,-4.450259208679199
wait,-4.813026428222656
no,-4.317014694213867
wait,-4.691425323486328
no,-4.334327220916748
wait,-4.51893949508667
no,-4.24794340133667
wait,-4.54533052444458
no,-4.560639381408691
wait,-4.731484889984131
no,-4.4388275146484375
wait,-4.635982990264893
no,-4.481671333312988
wait,-4.548178195953369
no,-4.378057479858398
wait,-4.575231552124023
no,-4.547950744628906
wait,-4.898093223571777
no,-4.280178070068359
wait,-4.849029541015625
no,-4.515050888061523
wait,-4.638855457305908
no,-4.479640007019043
wait,-4.602252006530762
no,-4.4947967529296875
wait,-4.606372833251953
no,-4.488149166107178
wait,-4.686662673950195
no,-4.879056453704834
wait,-5.271851539611816
no,-4.569835662841797
wait,-5.218916416168213
no,-4.655035495758057
wait,-4.793768405914307
no,-4.567137718200684
wait,-4.875116348266602
no,-4.513200283050537
wait,-4.736528396606445
no,-4.367527008056641
wait,-4.623210906982422
no,-4.7049784660339355
wait,-4.849582195281982
no,-4.644927501678467
wait,-4.922768592834473
no,-4.545164585113525
wait,-4.733959197998047
no,-4.711886405944824
wait,-4.950401782989502
no,-4.552001476287842
wait,-4.7009100914001465
no,-4.740859031677246
wait,-4.9189887046813965
no,-4.543999671936035
wait,-4.816319465637207
no,-4.601918697357178
wait,-4.981297016143799
no,-4.766508102416992
wait,-5.091281890869141
no,-4.714956283569336
wait,-4.966078758239746
no,-4.6645989418029785
wait,-4.947741508483887
no,-4.669602870941162
wait,-4.960641860961914
no,-4.742743492126465
wait,-5.076237678527832
no,-4.832883358001709
wait,-5.173678874969482
no,-4.804732799530029
wait,-4.940824031829834
no,-4.862105846405029
wait,-4.991768836975098
no,-4.780221462249756
wait,-4.966864585876465
no,-4.902074337005615
wait,-5.101812839508057
no,-4.779797077178955
wait,-5.078628063201904
no,-4.882487773895264
wait,-5.201774597167969
no,-4.813714504241943
wait,-5.0499958992004395
no,-4.964885711669922
wait,-5.035430431365967
no,-4.6938700675964355
wait,-4.774133205413818
no,-4.582287311553955
wait,-4.805944442749023
no,-4.615859031677246
wait,-4.920812129974365
no,-4.653588771820068
wait,-4.979683876037598
no,-4.707605361938477
wait,-5.0832719802856445
no,-4.841238975524902
wait,-5.179534435272217
no,-4.671476364135742
wait,-4.900707244873047
no,-4.550595760345459
wait,-5.004952907562256
no,-4.971035957336426
wait,-4.733182430267334
no,-4.54864501953125
wait,-4.60003137588501
no,-4.971035957336426
wait,-4.733182430267334
no,-4.54864501953125
wait,-4.60003137588501
no,-4.958681583404541
wait,-4.994170665740967
no,-4.907049655914307
wait,-4.895697593688965
no,-4.8737640380859375
wait,-4.848438262939453
no,-4.777140140533447
wait,-4.951276779174805
no,-4.794490814208984
wait,-5.025045871734619
no,-4.770012855529785
wait,-5.069375514984131
no,-4.989766597747803
wait,-4.929582595825195
no,-4.777233123779297
wait,-4.9176201820373535
no,-4.624403953552246
wait,-4.651793003082275
no,-4.642805099487305
wait,-4.675185680389404
no,-4.790688514709473
wait,-4.769452095031738
no,-4.725968837738037
wait,-5.020914077758789
no,-4.790685653686523
wait,-4.7694478034973145
no,-4.725964069366455
wait,-5.020908355712891
no,-4.848880767822266
wait,-4.8089423179626465
no,-4.766594409942627
wait,-4.90463399887085
no,-4.848880767822266
wait,-4.8089423179626465
no,-4.766594409942627
wait,-4.90463399887085
no,-4.95815896987915
wait,-4.914648532867432
no,-4.930394172668457
wait,-5.003747463226318
no,-4.95815896987915
wait,-4.914648532867432
no,-4.930394172668457
wait,-5.003747463226318
no,-4.893837928771973
wait,-4.976415157318115
no,-4.906862258911133
wait,-4.8679680824279785
no,-4.893837928771973
wait,-4.976415157318115
no,-4.906862258911133
wait,-4.8679680824279785
no,-4.815108299255371
wait,-4.937150001525879
no,-4.893049716949463
wait,-4.895019054412842
no,-5.072575569152832
wait,-5.6542792320251465
no,-4.684613227844238
wait,-5.34233283996582
no,-5.051242828369141
wait,-5.296647071838379
no,-4.592916011810303
wait,-4.936968803405762
no,-5.106701374053955
wait,-5.294653415679932
no,-4.588506698608398
wait,-4.955799102783203
no,-5.323378086090088
wait,-5.677946090698242
no,-4.803779602050781
wait,-5.37587308883667
no,-5.439297676086426
wait,-5.738701343536377
no,-4.8596625328063965
wait,-5.488406658172607
no,-5.248483180999756
wait,-5.589645862579346
no,-4.867318153381348
wait,-5.286996364593506
no,-5.273561000823975
wait,-5.781779766082764
no,-4.879273414611816
wait,-5.409188270568848
no,-5.126110553741455
wait,-5.791084289550781
no,-4.828782081604004
wait,-5.576165199279785
no,-5.237939834594727
wait,-5.166175842285156
no,-4.955257892608643
wait,-4.941155910491943
no,-5.250452995300293
wait,-5.550336837768555
no,-4.880373477935791
wait,-5.07020378112793
no,-4.358840465545654
wait,-4.472384452819824
no,-4.450829982757568
wait,-4.694754123687744
no,-4.343000411987305
wait,-4.382700443267822
no,-4.429100036621094
wait,-4.628438949584961
no,-4.375718593597412
wait,-4.463130474090576
no,-4.520014762878418
wait,-4.816615581512451
no,-4.6763739585876465
wait,-4.638250827789307
no,-4.7003045082092285
wait,-4.914122104644775
no,-4.596834659576416
wait,-4.703080654144287
no,-4.610143661499023
wait,-5.025638580322266
no,-4.625466346740723
wait,-4.468421459197998
no,-4.5432329177856445
wait,-4.70886754989624
no,-4.720699787139893
wait,-4.614355087280273
no,-4.536012649536133
wait,-4.634129524230957
no,-4.720276832580566
wait,-4.7266926765441895
no,-4.755641460418701
wait,-5.0566630363464355
no,-4.607953071594238
wait,-4.699836730957031
no,-4.612682819366455
wait,-4.976825714111328
no,-4.619441509246826
wait,-4.545198917388916
no,-4.6091485023498535
wait,-4.854736328125
no,-4.6105451583862305
wait,-4.866874694824219
no,-4.319061279296875
wait,-4.395532131195068
no,-4.704416275024414
wait,-4.727287292480469
no,-4.33003568649292
wait,-4.437899112701416
no,-4.709957599639893
wait,-4.763266563415527
no,-4.359166145324707
wait,-4.472639083862305
no,-4.872904300689697
wait,-5.012701988220215
no,-4.347769737243652
wait,-4.770262241363525
no,-4.89644718170166
wait,-4.9596662521362305
no,-4.549125671386719
wait,-4.610708713531494
no,-4.91099739074707
wait,-5.048278331756592
no,-4.411043643951416
wait,-4.800556182861328
no,-5.115321159362793
wait,-5.202225685119629
no,-4.589578151702881
wait,-4.9470438957214355
no,-5.0958685874938965
wait,-4.917420864105225
no,-4.57919979095459
wait,-4.604116439819336
no,-5.010978698730469
wait,-5.043966293334961
no,-4.6134233474731445
wait,-4.64844274520874
no,-5.115539073944092
wait,-4.931697368621826
no,-4.607285499572754
wait,-4.620965957641602
no,-4.35023832321167
wait,-4.87601900100708
no,-4.353973865509033
wait,-4.88886833190918
no,-4.432679176330566
wait,-4.717226028442383
no,-4.537745475769043
wait,-4.835436820983887
no,-4.615350723266602
wait,-4.769038677215576
no,-4.738548278808594
wait,-4.988259315490723
no,-4.365731239318848
wait,-4.6895246505737305
no,-4.311743259429932
wait,-4.62664794921875
no,-4.547494888305664
wait,-4.860998630523682
no,-4.674482345581055
wait,-4.962543487548828
no,-4.530238628387451
wait,-4.550192356109619
no,-4.664912223815918
wait,-4.764579772949219
no,-4.511743068695068
wait,-4.8090081214904785
no,-4.683801174163818
wait,-4.758959770202637
no,-4.4553022384643555
wait,-4.596872806549072
no,-4.68967342376709
wait,-4.806521415710449
no,-4.293987274169922
wait,-4.551280498504639
no,-4.45108699798584
wait,-4.669948101043701
no,-4.461714267730713
wait,-4.549178123474121
no,-4.6538872718811035
wait,-4.812375068664551
no,-4.172909736633301
wait,-4.190856456756592
no,-4.29359769821167
wait,-4.317388534545898
no,-4.193720817565918
wait,-4.305829048156738
no,-4.336409568786621
wait,-4.374243259429932
no,-4.250358581542969
wait,-4.26370906829834
no,-4.3840718269348145
wait,-4.366416931152344
no,-4.3985981941223145
wait,-4.677430629730225
no,-4.512070655822754
wait,-4.5426154136657715
no,-4.3232245445251465
wait,-4.354554176330566
no,-4.592889785766602
wait,-4.511020183563232
no,-4.247802734375
wait,-4.221531867980957
no,-4.350801944732666
wait,-4.29792594909668
no,-4.263296604156494
wait,-4.564879894256592
no,-4.412443161010742
wait,-4.516148567199707
no,-4.417474746704102
wait,-4.792146682739258
no,-4.525918960571289
wait,-4.770389080047607
no,-4.279008865356445
wait,-4.442172050476074
no,-4.419795989990234
wait,-4.548092365264893
no,-4.495825290679932
wait,-4.812957763671875
no,-4.622243881225586
wait,-4.925483226776123
no,-4.4324750900268555
wait,-4.424444675445557
no,-4.2362775802612305
wait,-4.321909427642822
no,-4.515800476074219
wait,-4.502996444702148
no,-4.253053665161133
wait,-4.241426467895508
no,-4.468852996826172
wait,-4.412621974945068
no,-4.329322814941406
wait,-4.323824405670166
no,-4.222690582275391
wait,-4.141906261444092
no,-4.2152252197265625
wait,-4.085056304931641
no,-4.498196601867676
wait,-4.46919059753418
no,-4.254315376281738
wait,-4.249190330505371
no,-4.499488830566406
wait,-4.4772725105285645
no,-4.300354957580566
wait,-4.370324611663818
no,-4.455282688140869
wait,-4.377581596374512
no,-4.35432243347168
wait,-4.247430801391602
no,-4.55535364151001
wait,-4.565389156341553
no,-4.257742881774902
wait,-4.4091572761535645
no,-4.5125017166137695
wait,-4.60119104385376
no,-4.438040733337402
wait,-4.495853900909424
no,-4.5125017166137695
wait,-4.60119104385376
no,-4.438040733337402
wait,-4.495853900909424
no,-4.867132663726807
wait,-4.715871810913086
no,-4.81069803237915
wait,-4.8534255027771
no,-4.866745471954346
wait,-4.717103481292725
no,-4.805006504058838
wait,-4.851071357727051
no,-4.844947338104248
wait,-4.673070907592773
no,-4.810004234313965
wait,-4.802704334259033
no,-4.870020389556885
wait,-4.733263969421387
no,-4.841041564941406
wait,-4.875734806060791
no,-4.84882116317749
wait,-4.705315589904785
no,-4.771160125732422
wait,-4.847810745239258
no,-4.8722147941589355
wait,-4.7601318359375
no,-4.862523555755615
wait,-4.943487644195557
no,-4.903376579284668
wait,-4.840276718139648
no,-4.8235015869140625
wait,-4.959011077880859
no,-4.872127532958984
wait,-4.855220794677734
no,-4.874500274658203
wait,-5.057254314422607
no,-4.985599994659424
wait,-4.835178852081299
no,-4.87281608581543
wait,-4.991555690765381
no,-4.8644280433654785
wait,-4.801508903503418
no,-4.81593656539917
wait,-4.967061996459961
no,-4.863049507141113
wait,-5.052597999572754
no,-4.486725807189941
wait,-4.804856300354004
no,-5.0603179931640625
wait,-5.348908424377441
no,-4.559463977813721
wait,-5.002785682678223
no,-4.654144763946533
wait,-4.793932914733887
no,-4.312711238861084
wait,-4.629396438598633
no,-4.601252555847168
wait,-5.03649377822876
no,-4.586826324462891
wait,-4.873795032501221
no,-4.834897041320801
wait,-4.968382358551025
no,-4.475647926330566
wait,-4.9788594245910645
no,-4.91750431060791
wait,-5.180150985717773
no,-4.454077243804932
wait,-5.048984527587891
no,-4.772732734680176
wait,-4.977931976318359
no,-4.568823337554932
wait,-4.970694541931152
no,-4.77640962600708
wait,-4.812861442565918
no,-4.522690296173096
wait,-4.873100757598877
no,-4.844825267791748
wait,-5.043593406677246
no,-4.745922088623047
wait,-5.031579494476318
no,-5.099190711975098
wait,-5.283416748046875
no,-4.596976280212402
wait,-5.181365013122559
no,-4.893564224243164
wait,-5.15122652053833
no,-4.628654956817627
wait,-4.878732681274414
no,-4.880533695220947
wait,-5.038686275482178
no,-4.514595985412598
wait,-4.823805809020996
no,-4.906613826751709
wait,-5.290558815002441
no,-4.580345630645752
wait,-5.033830642700195
no,-4.823810577392578
wait,-5.06861686706543
no,-4.677323341369629
wait,-4.824235916137695
no,-4.822058200836182
wait,-5.050741672515869
no,-4.6016926765441895
wait,-4.930330753326416
no,-4.925995826721191
wait,-5.138162612915039
no,-4.684032917022705
wait,-4.943821430206299
no,-5.021986484527588
wait,-5.271686553955078
no,-4.571207046508789
wait,-4.9765543937683105
no,-4.955280780792236
wait,-5.142994403839111
no,-4.7754106521606445
wait,-4.716747283935547
no,-4.6970391273498535
wait,-4.808365821838379
no,-4.461496353149414
wait,-4.696330547332764
no,-5.055902481079102
wait,-5.25255823135376
no,-4.686708927154541
wait,-4.916830539703369
no,-4.760134220123291
wait,-4.614431858062744
no,-4.492138862609863
wait,-4.3029279708862305
no,-4.788276672363281
wait,-4.8060150146484375
no,-4.536633014678955
wait,-4.605836868286133
no,-4.814178943634033
wait,-4.740995407104492
no,-4.464014530181885
wait,-4.309723377227783
no,-5.131255149841309
wait,-5.079550266265869
no,-4.792074680328369
wait,-4.713236331939697
no,-5.032135963439941
wait,-5.15740966796875
no,-4.509146213531494
wait,-4.759830951690674
no,-4.729628562927246
wait,-4.787260055541992
no,-4.478116035461426
wait,-4.441456317901611
no,-5.024961948394775
wait,-5.081595420837402
no,-4.471984386444092
wait,-4.515486240386963
no,-5.055645942687988
wait,-5.162746429443359
no,-4.542477130889893
wait,-4.6010355949401855
no,-5.0527143478393555
wait,-5.059446811676025
no,-4.5029120445251465
wait,-4.560157775878906
no,-5.070785045623779
wait,-5.054590702056885
no,-4.540248394012451
wait,-4.584864616394043
no,-4.390493869781494
