header,score
no,-5.108808994293213
wait,-5.394586086273193
no,-5.143887996673584
wait,-5.425281047821045
no,-5.092236518859863
wait,-5.2161993980407715
no,-5.142109394073486
wait,-5.199770450592041
no,-5.15549373626709
wait,-5.28772497177124
no,-5.081082344055176
wait,-5.2374701499938965
no,-5.193784713745117
wait,-5.413825035095215
no,-5.232601642608643
wait,-5.389519691467285
no,-5.205805778503418
wait,-5.455846309661865
no,-5.2007551193237305
wait,-5.444928169250488
no,-5.111415863037109
wait,-5.3470258712768555
no,-5.056481838226318
wait,-5.305083751678467
no,-5.2185282707214355
wait,-5.424076080322266
no,-5.207047939300537
wait,-5.3888702392578125
no,-5.113943576812744
wait,-5.461744785308838
no,-5.271661758422852
wait,-5.418751239776611
no,-5.113251686096191
wait,-5.350811958312988
no,-5.173140048980713
wait,-5.302285194396973
no,-5.18281364440918
wait,-5.4010090827941895
no,-5.136346817016602
wait,-5.353044033050537
no,-4.790963172912598
wait,-4.896625995635986
no,-4.78959846496582
wait,-4.911583423614502
no,-4.820732116699219
wait,-4.970260143280029
no,-4.790554046630859
wait,-4.986878871917725
no,-4.861359596252441
wait,-4.943210124969482
no,-4.833718299865723
wait,-4.960176944732666
no,-4.962810516357422
wait,-5.0266947746276855
no,-4.910012245178223
wait,-5.04421854019165
no,-4.922302722930908
wait,-5.089443206787109
no,-4.927359580993652
wait,-5.02435827255249
no,-5.001095294952393
wait,-5.192136764526367
no,-4.982081413269043
wait,-5.091410160064697
no,-5.001126766204834
wait,-5.20768404006958
no,-5.002227783203125
wait,-5.106949329376221
no,-4.993542194366455
wait,-5.141801834106445
no,-4.957335472106934
wait,-5.113949775695801
no,-5.134535312652588
wait,-5.244329452514648
no,-5.067650318145752
wait,-5.271909236907959
no,-5.278790473937988
wait,-5.402736186981201
no,-5.264061450958252
wait,-5.339574813842773
no,-5.061357021331787
wait,-5.256815433502197
no,-5.138427257537842
wait,-5.355542182922363
no,-4.924788951873779
wait,-5.108774662017822
no,-5.1703691482543945
wait,-5.22815465927124
no,-5.050642490386963
wait,-5.035154819488525
no,-5.101145267486572
wait,-5.186463832855225
no,-5.0032477378845215
wait,-5.146905422210693
no,-5.1571831703186035
wait,-5.29058313369751
no,-5.030868053436279
wait,-5.20327091217041
no,-5.174759864807129
wait,-5.304999351501465
no,-5.127599716186523
wait,-5.3335957527160645
no,-5.248019695281982
wait,-5.482716083526611
no,-5.1001482009887695
wait,-5.310908794403076
no,-5.246151924133301
wait,-5.439554691314697
no,-5.282509803771973
wait,-5.300508499145508
no,-5.3598856925964355
wait,-5.523223400115967
no,-5.103097438812256
wait,-5.396551132202148
no,-5.24100923538208
wait,-5.515707969665527
no,-5.2086181640625
wait,-5.215807914733887
no,-5.270135402679443
wait,-5.393627166748047
no,-4.740808963775635
wait,-4.8822245597839355
no,-4.746521949768066
wait,-4.827046871185303
no,-4.820022106170654
wait,-5.172316551208496
no,-4.921659469604492
wait,-5.186580181121826
no,-4.819705963134766
wait,-4.938729763031006
no,-4.890867233276367
wait,-4.969030857086182
no,-4.825170516967773
wait,-5.102305889129639
no,-4.77935266494751
wait,-5.020279884338379
no,-4.915112018585205
wait,-5.2743964195251465
no,-5.057417392730713
wait,-5.215832233428955
no,-5.227532386779785
wait,-5.641613960266113
no,-5.256038188934326
wait,-5.56715202331543
no,-4.96243953704834
wait,-5.354031085968018
no,-5.108545303344727
wait,-5.339537620544434
no,-5.249431133270264
wait,-5.676783561706543
no,-5.2793073654174805
wait,-5.5984883308410645
no,-5.058739185333252
wait,-5.414952754974365
no,-5.134249687194824
wait,-5.382875919342041
no,-5.127273082733154
wait,-5.540867805480957
no,-5.199156761169434
wait,-5.450219631195068
no,-4.995067596435547
wait,-4.99859094619751
no,-5.035146236419678
wait,-5.059991359710693
no,-4.999393939971924
wait,-4.946568489074707
no,-5.1084818840026855
wait,-5.039782524108887
no,-5.096158504486084
wait,-5.118101119995117
no,-5.076383113861084
wait,-5.072202682495117
no,-5.107585906982422
wait,-5.0884575843811035
no,-5.256775379180908
wait,-5.170662879943848
no,-5.081497669219971
wait,-5.11329984664917
no,-5.218684196472168
wait,-5.217889308929443
no,-5.110146522521973
wait,-5.148859024047852
no,-5.257068157196045
wait,-5.202835559844971
no,-5.081688404083252
wait,-5.1004109382629395
no,-5.102993011474609
wait,-5.134599685668945
no,-5.073286533355713
wait,-5.0576090812683105
no,-5.187374114990234
wait,-5.1543731689453125
no,-5.222288608551025
wait,-5.21818208694458
no,-5.195614337921143
wait,-5.190284729003906
no,-5.1751508712768555
wait,-5.149712562561035
no,-5.184558391571045
wait,-5.182859897613525
no,-5.147607326507568
wait,-5.199555397033691
no,-5.2862396240234375
wait,-5.223633766174316
no,-5.200730323791504
wait,-5.283051013946533
